RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
2	-102185	-149274	43.0525	21.060833	430309	210339	34TEN0495466647	NK34-02	P	PPL		KV	19				V	srp			ZITINJA	Žitinja	Zitinja	ZITINJA	Žitinja	Zitinja		2009-04-08
2	-102185	9037139	43.0525	21.060833	430309	210339	34TEN0495466647	NK34-02	P	PPL		KV	19				V	sqi			AHISHTA	Ahishta	Ahishta	AHISHTA	Ahishta	Ahishta		2009-04-08
2	-102185	501741	43.0525	21.060833	430309	210339	34TEN0495466647	NK34-02	P	PPL		KV	19				N	sqi			ZHITI	Zhiti	Zhiti	ZHITI	Zhiti	Zhiti		2009-05-27
2	-102185	-149277	43.0525	21.060833	430309	210339	34TEN0495466647	NK34-02	P	PPL		KV	19				N	srp			ZITINJE	Žitinje	Zitinje	ZITINJE	Žitinje	Zitinje		2009-04-08
2	-102185	11066684	43.0525	21.060833	430309	210339	34TEN0495466647	NK34-02	P	PPL		KV	19				NS	srp			ЖИТИЊЕ	Житиње	Житиње	ЖИТИЊЕ	Житиње	Житиње		2009-05-27
2	412379	520882	42.725278	20.158611	424331	200931	34TDN3111530651	NK34-05	P	PPL		KV	18				N	srp			HOKAJ	Hokaj	Hokaj	HOKAJ	Hokaj	Hokaj		2009-04-08
2	412386	520896	42.610278	20.384722	423637	202305	34TDN4953417722	NK34-05	P	PPL		KV	18				N	srp			KASTRA	Kastra	Kastra	KASTRA	Kastra	Kastra		2009-04-08
2	-81584	520650	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				V	sqi			ZHABARE	Zhabarë	Zhabare	ZHABARE	Zhabarë	Zhabare		2009-04-08
2	-81584	-119394	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				N	srp			GORNJEZABARE	Gornje Žabare	Gornje Zabare	GORNJEZABARE	Gornje Žabare	Gornje Zabare		2009-04-08
2	-81584	11039605	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				NS	srp			ГОРЊЕЖАБАРЕ	Горње Жабаре	Горње Жабаре	ГОРЊЕЖАБАРЕ	Горње Жабаре	Горње Жабаре		2009-05-04
2	-81584	11039610	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				V	sqi			ZABARIIEPERM	Zabari i Epërm	Zabari i Eperm	ZABARIIEPERM	Zabari i Epërm	Zabari i Eperm		2009-05-04
